"wl","n","k"
0.3,2.126174902,0.618044369
0.305,2.079590218,0.570271894
0.31,2.024032843,0.545350907
0.315,1.973956159,0.543319621
0.32,1.92697454,0.56433582
0.325,1.888624781,0.607919449
0.33,1.879823012,0.673700358
0.335,1.909514119,0.760077681
0.34,1.975014564,0.822535919
0.345,2.090146205,0.850538573
0.35,2.191912107,0.832097346
0.355,2.299844169,0.750424177
0.36,2.373386561,0.651930636
0.365,2.408858809,0.562054716
0.37,2.411821822,0.4648046
0.375,2.402802013,0.402555088
0.38,2.380439885,0.348302632
0.385,2.355576999,0.306900687
0.39,2.324456569,0.271548613
0.395,2.29916392,0.244674816
0.4,2.275094252,0.223843075
0.405,2.246913242,0.206606614
0.41,2.227049427,0.196087516
0.415,2.201759583,0.188483831
0.42,2.181802298,0.184992352
0.425,2.164621782,0.181500873
0.43,2.149570152,0.183951744
0.435,2.140707093,0.186820188
0.44,2.134162803,0.191387775
0.445,2.135043213,0.195955363
0.45,2.13604511,0.195341422
0.455,2.142552183,0.193992077
0.46,2.149059256,0.18641494
0.465,2.152331802,0.173861862
0.47,2.154134446,0.160238171
0.475,2.154432321,0.145422263
0.48,2.149737531,0.132719739
0.485,2.145042741,0.121210005
0.49,2.13897653,0.111453739
0.495,2.132156462,0.101821058
0.5,2.125336393,0.097176216
0.505,2.119838203,0.092531374
0.51,2.114462065,0.087852028
0.515,2.108842323,0.082756627
0.52,2.10121707,0.077661225
0.525,2.093890304,0.072785709
0.53,2.090145966,0.069598008
0.535,2.083792371,0.066410306
0.54,2.077332934,0.063443602
0.545,2.072966992,0.062092487
0.55,2.068768458,0.060741372
0.555,2.063760118,0.059390256
0.56,2.057758688,0.057804905
0.565,2.051757257,0.056015912
0.57,2.048534172,0.05422692
0.575,2.0454683,0.052437928
0.58,2.042402427,0.051406452
0.585,2.039639941,0.050425169
0.59,2.037342589,0.049443885
0.595,2.035045237,0.048483421
0.6,2.032747885,0.047710465
0.605,2.030190657,0.046937508
0.61,2.027399317,0.046164551
0.615,2.024607978,0.045382234
0.62,2.021816639,0.04445635
0.625,2.0190253,0.043530465
0.63,2.017096233,0.042604581
0.635,2.015362515,0.041678697
0.64,2.013628796,0.040872336
0.645,2.011895077,0.040145327
0.65,2.010216418,0.039418319
0.655,2.008573473,0.038691311
0.66,2.006930528,0.037972148
0.665,2.005287583,0.037402288
0.67,2.003644638,0.036832429
0.675,2.001942912,0.036262569
0.68,2.000232492,0.03569271
0.685,1.998522072,0.03512285
0.69,1.996811652,0.034456838
0.695,1.995101233,0.033788611
0.7,1.993860723,0.033120385
0.705,1.992724045,0.032452159
0.71,1.991587367,0.031783932
0.715,1.990450689,0.031239015
0.72,1.989314011,0.031294207
0.725,1.988172321,0.031349399
0.73,1.986801255,0.031404591
0.735,1.985430188,0.031459783
0.74,1.984059122,0.031495132
0.745,1.982688055,0.03090615
0.75,1.981316988,0.030317168
0.755,1.979945922,0.029728186
0.76,1.978987234,0.029139204
0.765,1.978222214,0.028550222
0.77,1.977457193,0.02796124
0.775,1.976692173,0.027422955
0.78,1.975927153,0.027276348
0.785,1.975162133,0.02712974
0.79,1.974397113,0.026983133
0.795,1.973726132,0.026836526
0.8,1.973139889,0.026689919
0.805,1.972553646,0.026543311
0.81,1.971967403,0.026396704
0.815,1.97138116,0.026237204
0.82,1.970794917,0.026066345
0.825,1.970208674,0.025895486
0.83,1.969259768,0.025724626
0.835,1.968274348,0.025553767
0.84,1.967288929,0.025382908
0.845,1.966303509,0.025212049
0.85,1.96531809,0.025040933
0.855,1.96433267,0.024867139
0.86,1.963347251,0.024693345
0.865,1.962361831,0.024519551
0.87,1.961646762,0.024345757
0.875,1.961319849,0.024171964
0.88,1.960992935,0.02399817
0.885,1.960666021,0.023824376
0.89,1.960339108,0.023650582
0.895,1.960012194,0.023403888
0.9,1.95968528,0.023104699
0.905,1.959358367,0.02280551
0.91,1.959031453,0.02250632
0.915,1.958609717,0.022207131
0.92,1.958101766,0.021907941
0.925,1.957593816,0.021608752
0.93,1.957085866,0.021309563
0.935,1.956577915,0.021010373
0.94,1.956069965,0.020725274
0.945,1.955562015,0.020504454
0.95,1.955054064,0.020283635
0.955,1.954546114,0.020062815
0.96,1.954038163,0.019841996
0.965,1.953606914,0.019621176
0.97,1.953211771,0.019400357
0.975,1.952816627,0.019179537
0.98,1.952421484,0.018958718
0.985,1.952026341,0.018737898
0.99,1.951631197,0.018517079
0.995,1.951236054,0.018296259
1.,1.950840911,0.01807544
1.005,1.950445767,0.017854621
1.01,1.950050624,0.017633801
1.015,1.94965548,0.017438742
1.02,1.94925206,0.017442206
1.025,1.948845305,0.01744567
1.03,1.948438549,0.017449134
1.035,1.948031794,0.017452598
1.04,1.947625039,0.017456062
1.045,1.947218283,0.017459526
1.05,1.946811528,0.017462991
1.055,1.946404772,0.017466455
1.06,1.945998017,0.017469919
1.065,1.945591261,0.017473383
1.07,1.945184506,0.017476847
1.075,1.94477775,0.017445572
1.08,1.944425069,0.017372685
1.085,1.944147088,0.017299798
1.09,1.943869107,0.017226911
1.095,1.943591126,0.017154024
1.1,1.943313145,0.017081137
1.105,1.943035164,0.01700825
1.11,1.942757183,0.016935363
1.115,1.942479202,0.016862476
1.12,1.942201221,0.016789589
1.125,1.94192324,0.016716702
1.13,1.941645259,0.016643815
1.135,1.941367278,0.016570928
1.14,1.941089297,0.016498041
1.145,1.940811316,0.016396656
1.15,1.940584372,0.01628373
1.155,1.940400353,0.016170803
1.16,1.940216334,0.016057876
1.165,1.940032315,0.01594495
1.17,1.939848297,0.015832023
1.175,1.939664278,0.015719097
1.18,1.939480259,0.01560617
1.185,1.93929624,0.015493243
1.19,1.939112221,0.015380317
1.195,1.938928202,0.01526739
1.2,1.938744183,0.015154464
1.205,1.938560164,0.015041537
1.21,1.938376145,0.014928611
1.215,1.938192126,0.014815684
1.22,1.938008107,0.014711558
1.225,1.937824088,0.014698216
1.23,1.937602356,0.014684873
1.235,1.937368428,0.014671531
1.24,1.937134499,0.014658188
1.245,1.936900571,0.014644846
1.25,1.936666643,0.014631503
1.255,1.936432714,0.014618161
1.26,1.936198786,0.014604818
1.265,1.935964858,0.014591476
1.27,1.935730929,0.014578133
1.275,1.935497001,0.014564791
1.28,1.935263072,0.014551449
1.285,1.935029144,0.014538106
1.29,1.934795216,0.014524764
1.295,1.934561287,0.014511421
1.3,1.934327359,0.014498079
1.305,1.93409343,0.014484736
1.31,1.933859502,0.01446327
1.315,1.933625574,0.014401249
1.32,1.933432389,0.014339228
1.325,1.933262387,0.014277207
1.33,1.933092385,0.014215185
1.335,1.932922382,0.014153164
1.34,1.93275238,0.014091143
1.345,1.932582378,0.014029121
1.35,1.932412375,0.0139671
1.355,1.932242373,0.013905079
1.36,1.932072371,0.013843058
1.365,1.931902368,0.013781036
1.37,1.931732366,0.013719015
1.375,1.931562364,0.013656994
1.38,1.931392361,0.013594973
1.385,1.931222359,0.013532951
1.39,1.931052357,0.01347093
