"wl","n","k"
0.3,1.464593195,0.407173222
0.305,1.461845078,0.434584942
0.31,1.459096962,0.461996662
0.315,1.456348845,0.490197433
0.32,1.464040503,0.519839123
0.325,1.47362427,0.551997064
0.33,1.493890587,0.585277802
0.335,1.519456115,0.62020334
0.34,1.55338223,0.656763659
0.345,1.592032962,0.692797962
0.35,1.642035288,0.724739257
0.355,1.696141985,0.747017897
0.36,1.758932148,0.764428927
0.365,1.82546567,0.7651517
0.37,1.902921512,0.757602969
0.375,1.984409724,0.730934715
0.38,2.073432685,0.688725757
0.385,2.142591214,0.611773263
0.39,2.189490628,0.52644513
0.395,2.210265658,0.451609709
0.4,2.219572594,0.353279752
0.405,2.208343577,0.265217924
0.41,2.183210655,0.196317544
0.415,2.148689765,0.145558684
0.42,2.109326528,0.094248266
0.425,2.066897019,0.060111194
0.43,2.021066215,0.038958586
0.435,1.976596264,0.022222444
0.44,1.942256076,0.014609321
0.445,1.910040475,0.00765035
0.45,1.879342956,0.005033476
0.455,1.853154006,0.002733016
0.46,1.829132049,0.001448687
0.465,1.808374179,0.000518675
0.47,1.790011845,0.000216834
0.475,1.772551429,0.000258686
0.48,1.756075636,0.000300539
0.485,1.740124768,0.000342392
0.49,1.725032439,-0.000325625
0.495,1.710010735,-0.00183867
0.5,1.695169945,-0.002227921
0.505,1.680581116,-0.000630712
0.51,1.667123789,0.000551655
0.515,1.653540483,0.000593508
0.52,1.638573922,0.00063536
0.525,1.623607362,0.000677213
0.53,1.606039736,0.000704117
0.535,1.588432018,0.000551583
0.54,1.567146354,0.000399048
0.545,1.545388245,0.000628278
0.55,1.524868206,0.000864526
0.555,1.504682215,0.002825559
0.56,1.481029849,0.005006146
0.565,1.455811848,0.010270594
0.57,1.425760296,0.016342012
0.575,1.395891446,0.02622375
0.58,1.373400281,0.037747162
0.585,1.351103261,0.051692698
0.59,1.329856174,0.067211325
0.595,1.308609086,0.084163078
0.6,1.286571282,0.102467616
0.605,1.262061518,0.120756826
0.61,1.237390807,0.139025138
0.615,1.216638854,0.154602734
0.62,1.195029953,0.164762619
0.625,1.165439205,0.173555711
0.63,1.132045976,0.177995409
0.635,1.082345598,0.183270614
0.64,1.026873509,0.19347613
0.645,0.942287802,0.207018954
0.65,0.861080543,0.239904504
0.655,0.729119864,0.290630899
0.66,0.579058117,0.456023625
0.665,0.515624724,0.636516326
0.67,0.492175017,0.85451977
0.675,0.521455581,1.074377851
0.68,0.574401811,1.279875655
0.685,0.688950998,1.47114949
0.69,0.801736902,1.608064129
0.695,0.951995961,1.738859569
0.7,1.102641005,1.838873415
0.705,1.272021541,1.920064734
0.71,1.430659521,1.963800551
0.715,1.637454327,1.985635849
0.72,1.842192127,1.979765058
0.725,2.021277647,1.957445233
0.73,2.215083002,1.910625027
0.735,2.356448893,1.841412044
0.74,2.540378655,1.743879087
0.745,2.649681972,1.638247784
0.75,2.760426244,1.513424141
0.755,2.852638058,1.392609635
0.76,2.923490356,1.24627371
0.765,2.980034048,1.135371324
0.77,3.012597476,1.016146974
0.775,3.030490272,0.872403845
0.78,3.030664652,0.764511744
0.785,3.019848483,0.649130489
0.79,2.998773955,0.556087269
0.795,2.968173925,0.459576096
0.8,2.928812375,0.38328594
0.805,2.884135344,0.312436855
0.81,2.835064739,0.251600123
0.815,2.789787907,0.204296114
0.82,2.744204377,0.162307037
0.825,2.698516395,0.12596075
0.83,2.654051012,0.092662175
0.835,2.611739291,0.052659992
0.84,2.571281857,0.045611587
0.845,2.535772959,0.038290982
0.85,2.499555348,0.030074921
0.855,2.462626094,0.022482381
0.86,2.43121506,0.018832101
0.865,2.40362125,0.015225544
0.87,2.379148986,0.012643773
0.875,2.357893955,0.010062002
0.88,2.337431373,0.009501374
0.885,2.318188652,0.009057272
0.89,2.300282274,0.009029221
0.895,2.285567253,0.009074314
0.9,2.271099364,0.009506201
0.905,2.257642037,0.010063215
0.91,2.244492355,0.010072177
0.915,2.234179263,0.009799773
0.92,2.223866171,0.009838993
0.925,2.213176076,0.01011736
0.93,2.202485676,0.010374366
0.935,2.193607442,0.010607373
0.94,2.184929353,0.01013869
0.945,2.176352116,0.008505808
0.95,2.167799796,0.007475152
0.955,2.161104835,0.007986803
0.96,2.155193672,0.008547876
0.965,2.148674204,0.009325225
0.97,2.141756886,0.010038424
0.975,2.13496683,0.010112675
0.98,2.128301051,0.010186927
0.985,2.122864635,0.009463922
0.99,2.119217322,0.008737987
0.995,2.11477428,0.009320905
1.,2.10949134,0.009977199
1.005,2.109016773,0.009943942
1.01,2.108542206,0.009910684
1.015,2.108067639,0.009877427
1.02,2.107593072,0.00984417
1.025,2.107118505,0.009810912
1.03,2.106643938,0.009777655
1.035,2.106169371,0.009744398
1.04,2.105694804,0.00971114
1.045,2.105220237,0.009677883
1.05,2.10474567,0.009644626
1.055,2.104271103,0.009611369
1.06,2.103796536,0.009578111
1.065,2.103321969,0.009544854
1.07,2.102847402,0.009511597
1.075,2.102372835,0.009478339
1.08,2.101898268,0.009445082
1.085,2.101423701,0.009411825
1.09,2.100949134,0.009378567
1.095,2.100474567,0.00934531
1.1,2.1,0.009312053
1.105,2.1,0.009278795
1.11,2.1,0.009245538
1.115,2.1,0.009212281
1.12,2.1,0.009179023
1.125,2.1,0.009145766
1.13,2.1,0.009112509
1.135,2.1,0.009079251
1.14,2.1,0.009045994
1.145,2.1,0.009012737
1.15,2.1,0.008979479
1.155,2.1,0.008946222
1.16,2.1,0.008912965
1.165,2.1,0.008879707
1.17,2.1,0.00884645
1.175,2.1,0.008813193
1.18,2.1,0.008779935
1.185,2.1,0.008746678
1.19,2.1,0.008713421
1.195,2.1,0.008680163
1.2,2.1,0.008646906
1.205,2.1,0.008613649
1.21,2.1,0.008580391
1.215,2.1,0.008547134
1.22,2.1,0.008513877
1.225,2.1,0.008480619
1.23,2.1,0.008447362
1.235,2.1,0.008414105
1.24,2.1,0.008380847
1.245,2.1,0.00834759
1.25,2.1,0.008314333
1.255,2.1,0.008281075
1.26,2.1,0.008247818
1.265,2.1,0.008214561
1.27,2.1,0.008181303
1.275,2.1,0.008148046
1.28,2.1,0.008114789
1.285,2.1,0.008081531
1.29,2.1,0.008048274
1.295,2.1,0.008015017
1.3,2.1,0.007981759
1.305,2.1,0.007948502
1.31,2.1,0.007915245
1.315,2.1,0.007881987
1.32,2.1,0.00784873
1.325,2.1,0.007815473
1.33,2.1,0.007782215
1.335,2.1,0.007748958
1.34,2.1,0.007715701
1.345,2.1,0.007682443
1.35,2.1,0.007649186
1.355,2.1,0.007615929
1.36,2.1,0.007582671
1.365,2.1,0.007549414
1.37,2.1,0.007516157
1.375,2.1,0.007482899
1.38,2.1,0.007449642
1.385,2.1,0.007416385
1.39,2.1,0.007383127
1.395,2.1,0.00734987
1.4,2.1,0.007316613
1.405,2.1,0.007283355
1.41,2.1,0.007250098
1.415,2.1,0.007216841
1.42,2.1,0.007183583
1.425,2.1,0.007150326
1.43,2.1,0.007117069
1.435,2.1,0.007083811
1.44,2.1,0.007050554
1.445,2.1,0.007017297
1.45,2.1,0.006984039
1.455,2.1,0.006950782
1.46,2.1,0.006917525
1.465,2.1,0.006884267
1.47,2.1,0.00685101
1.475,2.1,0.006817753
1.48,2.1,0.006784495
1.485,2.1,0.006751238
1.49,2.1,0.006717981
1.495,2.1,0.006684723
1.5,2.1,0.006651466
1.505,2.1,0.006618209
1.51,2.1,0.006584951
1.515,2.1,0.006551694
1.52,2.1,0.006518437
1.525,2.1,0.006485179
1.53,2.1,0.006451922
1.535,2.1,0.006418665
1.54,2.1,0.006385407
1.545,2.1,0.00635215
1.55,2.1,0.006318893
1.555,2.1,0.006285635
1.56,2.1,0.006252378
1.565,2.1,0.006219121
1.57,2.1,0.006185863
1.575,2.1,0.006152606
1.58,2.1,0.006119349
1.585,2.1,0.006086091
1.59,2.1,0.006052834
1.595,2.1,0.006019577
1.6,2.1,0.005986319
1.605,2.1,0.005953062
1.61,2.1,0.005919805
1.615,2.1,0.005886547
1.62,2.1,0.00585329
1.625,2.1,0.005820033
1.63,2.1,0.005786776
1.635,2.1,0.005753518
1.64,2.1,0.005720261
1.645,2.1,0.005687004
1.65,2.1,0.005653746
1.655,2.1,0.005620489
1.66,2.1,0.005587232
1.665,2.1,0.005553974
1.67,2.1,0.005520717
1.675,2.1,0.00548746
1.68,2.1,0.005454202
1.685,2.1,0.005420945
1.69,2.1,0.005387688
1.695,2.1,0.00535443
1.7,2.1,0.005321173
1.705,2.1,0.005287916
1.71,2.1,0.005254658
1.715,2.1,0.005221401
1.72,2.1,0.005188144
1.725,2.1,0.005154886
1.73,2.1,0.005121629
1.735,2.1,0.005088372
1.74,2.1,0.005055114
1.745,2.1,0.005021857
1.75,2.1,0.0049886
1.755,2.1,0.004955342
1.76,2.1,0.004922085
1.765,2.1,0.004888828
1.77,2.1,0.00485557
1.775,2.1,0.004822313
1.78,2.1,0.004789056
1.785,2.1,0.004755798
1.79,2.1,0.004722541
1.795,2.1,0.004689284
1.8,2.1,0.004656026
1.805,2.1,0.004622769
1.81,2.1,0.004589512
1.815,2.1,0.004556254
1.82,2.1,0.004522997
1.825,2.1,0.00448974
1.83,2.1,0.004456482
1.835,2.1,0.004423225
1.84,2.1,0.004389968
1.845,2.1,0.00435671
1.85,2.1,0.004323453
1.855,2.1,0.004290196
1.86,2.1,0.004256938
1.865,2.1,0.004223681
1.87,2.1,0.004190424
1.875,2.1,0.004157166
1.88,2.1,0.004123909
1.885,2.1,0.004090652
1.89,2.1,0.004057394
1.895,2.1,0.004024137
1.9,2.1,0.00399088
1.905,2.1,0.003957622
1.91,2.1,0.003924365
1.915,2.1,0.003891108
1.92,2.1,0.00385785
1.925,2.1,0.003824593
1.93,2.1,0.003791336
1.935,2.1,0.003758078
1.94,2.1,0.003724821
1.945,2.1,0.003691564
1.95,2.1,0.003658306
1.955,2.1,0.003625049
1.96,2.1,0.003591792
1.965,2.1,0.003558534
1.97,2.1,0.003525277
1.975,2.1,0.00349202
1.98,2.1,0.003458762
1.985,2.1,0.003425505
1.99,2.1,0.003392248
1.995,2.1,0.00335899
2.,2.1,0.003325733
2.005,2.1,0.003292476
2.01,2.1,0.003259218
2.015,2.1,0.003225961
2.02,2.1,0.003192704
2.025,2.1,0.003159446
2.03,2.1,0.003126189
2.035,2.1,0.003092932
2.04,2.1,0.003059674
2.045,2.1,0.003026417
2.05,2.1,0.00299316
2.055,2.1,0.002959902
2.06,2.1,0.002926645
2.065,2.1,0.002893388
2.07,2.1,0.00286013
2.075,2.1,0.002826873
2.08,2.1,0.002793616
2.085,2.1,0.002760358
2.09,2.1,0.002727101
2.095,2.1,0.002693844
2.1,2.1,0.002660586
2.105,2.1,0.002627329
2.11,2.1,0.002594072
2.115,2.1,0.002560814
2.12,2.1,0.002527557
2.125,2.1,0.0024943
2.13,2.1,0.002461042
2.135,2.1,0.002427785
2.14,2.1,0.002394528
2.145,2.1,0.00236127
2.15,2.1,0.002328013
2.155,2.1,0.002294756
2.16,2.1,0.002261498
2.165,2.1,0.002228241
2.17,2.1,0.002194984
2.175,2.1,0.002161726
2.18,2.1,0.002128469
2.185,2.1,0.002095212
2.19,2.1,0.002061954
2.195,2.1,0.002028697
2.2,2.1,0.00199544
2.205,2.1,0.001962182
2.21,2.1,0.001928925
2.215,2.1,0.001895668
2.22,2.1,0.001862411
2.225,2.1,0.001829153
2.23,2.1,0.001795896
2.235,2.1,0.001762639
2.24,2.1,0.001729381
2.245,2.1,0.001696124
2.25,2.1,0.001662867
2.255,2.1,0.001629609
2.26,2.1,0.001596352
2.265,2.1,0.001563095
2.27,2.1,0.001529837
2.275,2.1,0.00149658
2.28,2.1,0.001463323
2.285,2.1,0.001430065
2.29,2.1,0.001396808
2.295,2.1,0.001363551
2.3,2.1,0.001330293
2.305,2.1,0.001297036
2.31,2.1,0.001263779
2.315,2.1,0.001230521
2.32,2.1,0.001197264
2.325,2.1,0.001164007
2.33,2.1,0.001130749
2.335,2.1,0.001097492
2.34,2.1,0.001064235
2.345,2.1,0.001030977
2.35,2.1,0.00099772
2.355,2.1,0.000964463
2.36,2.1,0.000931205
2.365,2.1,0.000897948
2.37,2.1,0.000864691
2.375,2.1,0.000831433
2.38,2.1,0.000798176
2.385,2.1,0.000764919
2.39,2.1,0.000731661
2.395,2.1,0.000698404
2.4,2.1,0.000665147
2.405,2.1,0.000631889
2.41,2.1,0.000598632
2.415,2.1,0.000565375
2.42,2.1,0.000532117
2.425,2.1,0.00049886
2.43,2.1,0.000465603
2.435,2.1,0.000432345
2.44,2.1,0.000399088
2.445,2.1,0.000365831
2.45,2.1,0.000332573
2.455,2.1,0.000299316
2.46,2.1,0.000266059
2.465,2.1,0.000232801
2.47,2.1,0.000199544
2.475,2.1,0.000166287
2.48,2.1,0.000133029
2.485,2.1,0.000099772
2.49,2.1,0.000066515
2.495,2.1,0.000033257
2.5,2.1,0.e-10
