# wavelength [micron], EQE [1]
2.999999999999999889e-01,4.468330206117164823e-08
3.044088176352705566e-01,9.826265565762571661e-07
3.088176352705410688e-01,1.982280525077564370e-05
3.132264529058116365e-01,3.683330971791195542e-04
3.176352705410821486e-01,6.315573867824818624e-03
3.220440881763527163e-01,3.982787594585560087e-02
3.264529058116232285e-01,8.277419548602511779e-02
3.308617234468937962e-01,1.573267996761482657e-01
3.352705410821643084e-01,2.341381775568121826e-01
3.396793587174348761e-01,3.389571616482181526e-01
3.440881763527053883e-01,4.252269244147307004e-01
3.484969939879759560e-01,5.168795908528549532e-01
3.529058116232464681e-01,5.881943616813476439e-01
3.573146292585170358e-01,6.404944987827156933e-01
3.617234468937875480e-01,6.766062297604905629e-01
3.661322645290581157e-01,6.923151223959725931e-01
3.705410821643286834e-01,6.995206957475907927e-01
3.749498997995991956e-01,6.915711553525273336e-01
3.793587174348697078e-01,6.832557010615497584e-01
3.837675350701402754e-01,6.932064715484357320e-01
3.881763527054108431e-01,7.080189295905939817e-01
3.925851703406813553e-01,7.196331711442564005e-01
3.969939879759519230e-01,7.297208603938927229e-01
4.014028056112224352e-01,7.408988194602982302e-01
4.058116232464930029e-01,7.512181920687440728e-01
4.102204408817635151e-01,7.624766923407285679e-01
4.146292585170340828e-01,7.745302402564645528e-01
4.190380761523045949e-01,7.869228325213785125e-01
4.234468937875751626e-01,7.993266130992009444e-01
4.278557114228457303e-01,8.115600258970061542e-01
4.322645290581162425e-01,8.238462178058834073e-01
4.366733466933867547e-01,8.360016690071967460e-01
4.410821643286573224e-01,8.479036900826979473e-01
4.454909819639278901e-01,8.601995851631865087e-01
4.498997995991984022e-01,8.715990702647652411e-01
4.543086172344689144e-01,8.813544683518093059e-01
4.587174348697394821e-01,8.900978023810982576e-01
4.631262525050100498e-01,8.970018096492602400e-01
4.675350701402805620e-01,9.026479590084638405e-01
4.719438877755510742e-01,9.075373166505588118e-01
4.763527054108216419e-01,9.117374738241927901e-01
4.807615230460922096e-01,9.152290761169243893e-01
4.851703406813627772e-01,9.183185031699401257e-01
4.895791583166332894e-01,9.206509268781435384e-01
4.939879759519038016e-01,9.220234829830740164e-01
4.983967935871743693e-01,9.227363663443226560e-01
5.028056112224449370e-01,9.227276869335104825e-01
5.072144288577153937e-01,9.221715019564417082e-01
5.116232464929859614e-01,9.211393468174655652e-01
5.160320641282565290e-01,9.196316227311241986e-01
5.204408817635270967e-01,9.178696425287395932e-01
5.248496993987976644e-01,9.155779133221185750e-01
5.292585170340681211e-01,9.131726511371605071e-01
5.336673346693386888e-01,9.106037332772121129e-01
5.380761523046092565e-01,9.079905847307421229e-01
5.424849699398797132e-01,9.053988579112595136e-01
5.468937875751502808e-01,9.028662478506775946e-01
5.513026052104208485e-01,9.002777502762141504e-01
5.557114228456914162e-01,8.974820791801556563e-01
5.601202404809619839e-01,8.947818070406352575e-01
5.645290581162325516e-01,8.915366119282852608e-01
5.689378757515030083e-01,8.884138850739367044e-01
5.733466933867735760e-01,8.854283100954696284e-01
5.777555110220440326e-01,8.825431867447902645e-01
